Server,Instance Load
ec2-256-140-35.compute-1.amazonaws.com,53.67305245102371
ec2-330-35-113.compute-1.amazonaws.com,84.95944913344773
ec2-272-25-214.compute-1.amazonaws.com,44.35742468193048
ec2-319-36-187.compute-1.amazonaws.com,28.139146619255644
ec2-315-121-106.compute-1.amazonaws.com,88.631917486397
ec2-263-151-65.compute-1.amazonaws.com,88.19143516899015
ec2-354-70-88.compute-1.amazonaws.com,60.09689627439641
ec2-285-103-97.compute-1.amazonaws.com,45.55857596485025
ec2-354-42-57.compute-1.amazonaws.com,70.14754445774558
ec2-273-35-90.compute-1.amazonaws.com,94.13308631268013
ec2-278-41-247.compute-1.amazonaws.com,9.719421687489156
ec2-280-139-215.compute-1.amazonaws.com,47.67253042577763
ec2-327-234-26.compute-1.amazonaws.com,17.051855829429655
ec2-340-198-217.compute-1.amazonaws.com,59.52081885691645
ec2-288-178-127.compute-1.amazonaws.com,61.817915909282746
ec2-291-248-31.compute-1.amazonaws.com,28.22739368249013
ec2-278-225-217.compute-1.amazonaws.com,86.86813198266404
ec2-335-198-29.compute-1.amazonaws.com,46.83408544702472
ec2-293-71-156.compute-1.amazonaws.com,25.126496727848405
ec2-348-209-230.compute-1.amazonaws.com,85.70555316160056
